countryName;region_name;region_abb;office_location;ISO3
Benin;Central and West Africa;WCA;Dakar Senegal;BEN
Burkina Faso;Central and West Africa;WCA;Dakar Senegal;BFA
Cameroon;Central and West Africa;WCA;Dakar Senegal;CMR
Cape Verde;Central and West Africa;WCA;Dakar Senegal;CPV
Central African Republic;Central and West Africa;WCA;Dakar Senegal;CAF
Chad;Central and West Africa;WCA;Dakar Senegal;TCD
Congo;Central and West Africa;WCA;Dakar Senegal;COG
Ivory Coast;Central and West Africa;WCA;Dakar Senegal;CIV
Equatorial Guinea;Central and West Africa;WCA;Dakar Senegal;GNQ
Gabon;Central and West Africa;WCA;Dakar Senegal;GAB
Gambia;Central and West Africa;WCA;Dakar Senegal;GMB
Ghana;Central and West Africa;WCA;Dakar Senegal;GHA
Guinea;Central and West Africa;WCA;Dakar Senegal;GIN
Guinea-Bissau;Central and West Africa;WCA;Dakar Senegal;GNB
Liberia;Central and West Africa;WCA;Dakar Senegal;LBR
Mali;Central and West Africa;WCA;Dakar Senegal;MLI
Mauritania;Central and West Africa;WCA;Dakar Senegal;MRT
Niger;Central and West Africa;WCA;Dakar Senegal;NER
Nigeria;Central and West Africa;WCA;Dakar Senegal;NGA
Sao Tome and Principey;Central and West Africa;WCA;Dakar Senegal;STP
Senegal;Central and West Africa;WCA;Dakar Senegal;SEN
Sierra Leone;Central and West Africa;WCA;Dakar Senegal;SLE
Togo;Central and West Africa;WCA;Dakar Senegal;TGO
Angola;Southern Africa;SAf;Pretoria South Africa;AGO
Botswana;Southern Africa;SAf;Pretoria South Africa;BWA
Comoros;Southern Africa;SAf;Pretoria South Africa;COM
Democratic Republic of the Congo;Southern Africa;SAf;Pretoria South Africa;COD
Lesotho;Southern Africa;SAf;Pretoria South Africa;LSO
Madagascar;Southern Africa;SAf;Pretoria South Africa;MDG
Malawi;Southern Africa;SAf;Pretoria South Africa;MWI
Mauritius;Southern Africa;SAf;Pretoria South Africa;MUS
Mozambique;Southern Africa;SAf;Pretoria South Africa;MOZ
Namibia;Southern Africa;SAf;Pretoria South Africa;NAM
Seychelles;Southern Africa;SAf;Pretoria South Africa;SYC
South Africa;Southern Africa;SAf;Pretoria South Africa;ZAF
Swaziland;Southern Africa;SAf;Pretoria South Africa;SWZ
Zambia;Southern Africa;SAf;Pretoria South Africa;ZMB
Zimbabwe;Southern Africa;SAf;Pretoria South Africa;ZWE
Burundi;East Africa;EA;Nairobi Kenya;BDI
Djibouti;East Africa;EA;Nairobi Kenya;DJI
Eritrea;East Africa;EA;Nairobi Kenya;ERI
Ethiopia;East Africa;EA;Nairobi Kenya;ETH
Kenya;East Africa;EA;Nairobi Kenya;KEN
Rwanda;East Africa;EA;Nairobi Kenya;RWA
Somalia;East Africa;EA;Nairobi Kenya;SOM
South Sudan;East Africa;EA;Nairobi Kenya;SSD
Uganda;East Africa;EA;Nairobi Kenya;UGA
United Republic of Tanzania;East Africa;EA;Nairobi Kenya;TZA
Algeria;Middle East and North Africa ;MENA;Cairo Egypt;DZA
Bahrain;Middle East and North Africa ;MENA;Cairo Egypt;BHR
Egypt;Middle East and North Africa ;MENA;Cairo Egypt;EGY
Iraq;Middle East and North Africa ;MENA;Cairo Egypt;IRQ
Jordan;Middle East and North Africa ;MENA;Cairo Egypt;JOR
Kuwait;Middle East and North Africa ;MENA;Cairo Egypt;KWT
Lebanon;Middle East and North Africa ;MENA;Cairo Egypt;LBN
Libya;Middle East and North Africa ;MENA;Cairo Egypt;LBY
Morocco;Middle East and North Africa ;MENA;Cairo Egypt;MAR
Sudan;Middle East and North Africa ;MENA;Cairo Egypt;SDN
Oman;Middle East and North Africa ;MENA;Cairo Egypt;OMN
Qatar;Middle East and North Africa ;MENA;Cairo Egypt;QAT
Saudi Arabia;Middle East and North Africa ;MENA;Cairo Egypt;SAU
Syrian Arab Republic;Middle East and North Africa ;MENA;Cairo Egypt;SYR
Tunisia;Middle East and North Africa ;MENA;Cairo Egypt;TUN
United Arab Emirates;Middle East and North Africa ;MENA;Cairo Egypt;ARE
Yemen;Middle East and North Africa ;MENA;Cairo Egypt;YEM
Antigua and Barbuda;Central and North America and the Caribbean;CNAC;San Jose Costa Rica;ATG
Bahamas;Central and North America and the Caribbean;CNAC;San Jose Costa Rica;BHS
Belize;Central and North America and the Caribbean;CNAC;San Jose Costa Rica;BLZ
Barbados;Central and North America and the Caribbean;CNAC;San Jose Costa Rica;BRB
Canada;Central and North America and the Caribbean;CNAC;San Jose Costa Rica;CAN
Costa Rica;Central and North America and the Caribbean;CNAC;San Jose Costa Rica;CRI
Cuba;Central and North America and the Caribbean;CNAC;San Jose Costa Rica;CUB
Dominica;Central and North America and the Caribbean;CNAC;San Jose Costa Rica;DMA
Dominican Republic;Central and North America and the Caribbean;CNAC;San Jose Costa Rica;DOM
El Salvador;Central and North America and the Caribbean;CNAC;San Jose Costa Rica;SLV
Grenada;Central and North America and the Caribbean;CNAC;San Jose Costa Rica;GRD
Guatemala;Central and North America and the Caribbean;CNAC;San Jose Costa Rica;GTM
Guyana;Central and North America and the Caribbean;CNAC;San Jose Costa Rica;GUY
Haiti;Central and North America and the Caribbean;CNAC;San Jose Costa Rica;HTI
Honduras;Central and North America and the Caribbean;CNAC;San Jose Costa Rica;HND
Jamaica;Central and North America and the Caribbean;CNAC;San Jose Costa Rica;JAM
Mexico;Central and North America and the Caribbean;CNAC;San Jose Costa Rica;MEX
Montserrat;Central and North America and the Caribbean;CNAC;San Jose Costa Rica;MSR
Nicaragua;Central and North America and the Caribbean;CNAC;San Jose Costa Rica;NIC
