contry_name;region_name;region_abb;office_location
Benin;Central and West Africa;WCA;Dakar Senegal
Burkina Faso;Central and West Africa;WCA;Dakar Senegal
Cameroun;Central and West Africa;WCA;Dakar Senegal
Cape Verde;Central and West Africa;WCA;Dakar Senegal
Central African Republic;Central and West Africa;WCA;Dakar Senegal
Chad;Central and West Africa;WCA;Dakar Senegal
Congo;Central and West Africa;WCA;Dakar Senegal
Côte d'Ivoire;Central and West Africa;WCA;Dakar Senegal
Equatorial Guinea;Central and West Africa;WCA;Dakar Senegal
Gabon;Central and West Africa;WCA;Dakar Senegal
Gambia;Central and West Africa;WCA;Dakar Senegal
Ghana;Central and West Africa;WCA;Dakar Senegal
Guinea;Central and West Africa;WCA;Dakar Senegal
Guinea-Bissau;Central and West Africa;WCA;Dakar Senegal
Liberia;Central and West Africa;WCA;Dakar Senegal
Mali;Central and West Africa;WCA;Dakar Senegal
Mauritania;Central and West Africa;WCA;Dakar Senegal
Niger;Central and West Africa;WCA;Dakar Senegal
Nigeria;Central and West Africa;WCA;Dakar Senegal
Sao Tome and Principey;Central and West Africa;WCA;Dakar Senegal
Senegal;Central and West Africa;WCA;Dakar Senegal
Sierra Leone;Central and West Africa;WCA;Dakar Senegal
Togo;Central and West Africa;WCA;Dakar Senegal
Angola;Southern Africa;SAf;Pretoria South Africa
Botswana;Southern Africa;SAf;Pretoria South Africa
Comoros;Southern Africa;SAf;Pretoria South Africa
Democratic Republic of the Congo;Southern Africa;SAf;Pretoria South Africa
Lesotho;Southern Africa;SAf;Pretoria South Africa
Madagascar;Southern Africa;SAf;Pretoria South Africa
Malawi;Southern Africa;SAf;Pretoria South Africa
Mauritius;Southern Africa;SAf;Pretoria South Africa
Mozambique;Southern Africa;SAf;Pretoria South Africa
Namibia;Southern Africa;SAf;Pretoria South Africa
Seychelles;Southern Africa;SAf;Pretoria South Africa
South Africa;Southern Africa;SAf;Pretoria South Africa
Swaziland;Southern Africa;SAf;Pretoria South Africa
Zambia;Southern Africa;SAf;Pretoria South Africa
Zimbabwe;Southern Africa;SAf;Pretoria South Africa
Burundi;East Africa;EA;Nairobi Kenya
Djibouti;East Africa;EA;Nairobi Kenya
Eritrea;East Africa;EA;Nairobi Kenya
Ethiopia;East Africa;EA;Nairobi Kenya
Kenya;East Africa;EA;Nairobi Kenya
Rwanda;East Africa;EA;Nairobi Kenya
Somalia;East Africa;EA;Nairobi Kenya
South Sudan;East Africa;EA;Nairobi Kenya
Uganda;East Africa;EA;Nairobi Kenya
United Republic of Tanzania;East Africa;EA;Nairobi Kenya
Algeria;Middle East and North Africa ;MENA;Cairo Egypt
Bahrain;Middle East and North Africa ;MENA;Cairo Egypt
Egypt;Middle East and North Africa ;MENA;Cairo Egypt
Iraq;Middle East and North Africa ;MENA;Cairo Egypt
Jordan;Middle East and North Africa ;MENA;Cairo Egypt
Kuwait;Middle East and North Africa ;MENA;Cairo Egypt
Lebanon;Middle East and North Africa ;MENA;Cairo Egypt
Libya;Middle East and North Africa ;MENA;Cairo Egypt
Morocco;Middle East and North Africa ;MENA;Cairo Egypt
Sudan;Middle East and North Africa ;MENA;Cairo Egypt
Oman;Middle East and North Africa ;MENA;Cairo Egypt
Qatar;Middle East and North Africa ;MENA;Cairo Egypt
Saudi Arabia;Middle East and North Africa ;MENA;Cairo Egypt
Syrian Arab Republic;Middle East and North Africa ;MENA;Cairo Egypt
Tunisia;Middle East and North Africa ;MENA;Cairo Egypt
United Arab Emirates;Middle East and North Africa ;MENA;Cairo Egypt
Yemen;Middle East and North Africa ;MENA;Cairo Egypt
Antigua and Barbuda;Central and North America and the Caribbean;CNAC;San José Costa Rica
Bahamas;Central and North America and the Caribbean;CNAC;San José Costa Rica
Belize;Central and North America and the Caribbean;CNAC;San José Costa Rica
Barbados;Central and North America and the Caribbean;CNAC;San José Costa Rica
Canada;Central and North America and the Caribbean;CNAC;San José Costa Rica
Costa Rica;Central and North America and the Caribbean;CNAC;San José Costa Rica
Cuba;Central and North America and the Caribbean;CNAC;San José Costa Rica
Dominica;Central and North America and the Caribbean;CNAC;San José Costa Rica
Dominican Republic;Central and North America and the Caribbean;CNAC;San José Costa Rica
El Salvador;Central and North America and the Caribbean;CNAC;San José Costa Rica
Grenada;Central and North America and the Caribbean;CNAC;San José Costa Rica
Guatemala;Central and North America and the Caribbean;CNAC;San José Costa Rica
Guyana;Central and North America and the Caribbean;CNAC;San José Costa Rica
Haiti;Central and North America and the Caribbean;CNAC;San José Costa Rica
Honduras;Central and North America and the Caribbean;CNAC;San José Costa Rica
Jamaica;Central and North America and the Caribbean;CNAC;San José Costa Rica
Mexico;Central and North America and the Caribbean;CNAC;San José Costa Rica
Montserrat;Central and North America and the Caribbean;CNAC;San José Costa Rica
Nicaragua;Central and North America and the Caribbean;CNAC;San José Costa Rica
Panama;Central and North America and the Caribbean;CNAC;San José Costa Rica
