ISO3,COUNTRY,namesOr1,nbmigOr1,namesOr2,nbmigOr2,namesOr3,nbmigOr3,namesDe1,nbmigDe1,namesDe2,nbmigDe2,namesDe3,nbmigDe3
KAZ,Kazakhstan,Russian Federation,2352598,Ukraine,338022,Uzbekistan,281713,Russian Federation,2560269,Germany,1016844,Ukraine,222245
AFG,Afghanistan,Pakistan,348369,Tajikistan,15031,Uzbekistan,751,Iran (Islamic Republic of),2348369,Pakistan,1618687,Saudi Arabia,364304
ALB,Other W. Balk,Greece,34989,Italy,9851,United States of America,2628,Italy,447586,Greece,437356,United States of America,81196
DZA,Algeria,Western Sahara,90939,State of Palestine,56961,Somalia,20810,France,1430656,Canada,57024,Spain,55306
,,,,,,,,,,,,,
AND,,Spain,20446,Portugal,11012,France,3764,Spain,5900,France,982,Portugal,361
AGO,Angola,Democratic Republic of the Congo,43192,Portugal,15528,Cabo Verde,10459,Democratic Republic of the Congo,185205,Portugal,151273,Congo,41238
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ATG,Caribbean Com,Guyana,6472,Dominica,4745,Ecuador,3990,United States of America,28558,Bangladesh,21664,United States Virgin Islands,4587
ARG,Other Brasili,Paraguay,679044,Chile,213119,Peru,195320,Spain,250778,United States of America,179639,Italy,73183
ARM,Armenia,Azerbaijan,87675,Georgia,40897,Russian Federation,20580,Russian Federation,527287,Azerbaijan,148503,United States of America,84953
,,,,,,,,,,,,,
,,,,,,,,,,,,,
AUS,Suva (regiona,United Kingdom of Great Britain and Northern Ireland,1289396,New Zealand,642271,China,451084,United Kingdom of Great Britain and Northern Ireland,135786,United States of America,77845,New Zealand,65161
AUT,,Germany,223705,Serbia,195177,Turkey,184847,Germany,257583,Switzerland,65090,United States of America,49704
,,,,,,,,,,,,,
BHS,Caribbean Com,Haiti,27591,United States of America,9664,Jamaica,7503,United States of America,33617,Canada,2160,United Kingdom of Great Britain and Northern Ireland,2071
BHR,Kuwait (regio,India,302635,Egypt,80889,Bangladesh,78396,Bangladesh,30160,State of Palestine,8555,United Kingdom of Great Britain and Northern Ireland,6261
,,,,,,,,,,,,,
BRB,Caribbean Com,Guyana,6594,China,3114,United Kingdom of Great Britain and Northern Ireland,2509,United States of America,54780,United Kingdom of Great Britain and Northern Ireland,20271,Canada,17207
,,,,,,,,,,,,,
BLR,Belarus,Russian Federation,682362,Ukraine,225734,Kazakhstan,69957,Russian Federation,764279,Ukraine,245534,Poland,75926
BEL,,Italy,175322,France,170858,Netherlands,160363,France,153220,Netherlands,54038,Italy,46393
BLZ,Caribbean Com,Guatemala,23231,El Salvador,8697,Honduras,8496,United States of America,49765,Mexico,3160,Canada,2149
BEN,Benin,Niger,75775,Togo,48118,Nigeria,44603,Nigeria,351985,Togo,71438,Cte d'Ivoire,54068
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BOL,Plurinational,Argentina,42691,Brazil,25688,Spain,12181,,,,,,
BIH,Bosnia and He,Croatia,11528,Serbia,9223,Montenegro,3968,Croatia,404874,Serbia,335992,Germany,199837
BWA,Other Harare,South Africa,37265,Zimbabwe,31625,Zambia,12833,South Africa,45014,United Kingdom of Great Britain and Northern Ireland,3513,Zimbabwe,3286
,,,,,,,,,,,,,
BRA,Brazil,Portugal,164705,Japan,58564,Paraguay,46857,United States of America,347968,Japan,182227,Portugal,129968
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BRN,Kuala Lumpur,Malaysia,48285,Thailand,14384,Philippines,13457,India,25388,Malaysia,6083,United Kingdom of Great Britain and Northern Ireland,5731
BGR,,Russian Federation,20549,Greece,7761,Turkey,6551,Turkey,482851,Spain,130116,Germany,105331
BFA,Burkina Faso,Cte d Ivoire,540779,Mali,43815,Ghana,32217,Cte d'Ivoire,1294323,Ghana,57733,Mali,23922
BDI,Burundi,Democratic Republic of the Congo,167768,Rwanda,64363,United Republic of Tanzania,28008,United Republic of Tanzania,87099,Rwanda,64501,Uganda,45345
KHM,Cambodia,Viet Nam,36436,Thailand,30806,China,1518,Thailand,805272,United States of America,167039,France,63343
CMR,Cameroon,Central African Republic,201957,Nigeria,81676,Chad,54160,France,81278,United States of America,41242,Chad,36938
CAN,Canada,China,711220,India,621469,United Kingdom of Great Britain and Northern Ireland,607377,United States of America,842175,United Kingdom of Great Britain and Northern Ireland,86415,Australia,54034
CPV,Cape Verde,Guinea Bissau,5015,Sao Tome and Principe,1712,Senegal,1478,Portugal,57636,United States of America,35228,France,22292
,,,,,,,,,,,,,
TCD,Chad,Sudan,363465,Central African Republic,93259,Cameroon,36938,Sudan,74514,Cameroon,54160,Nigeria,29175
CHL,Other Brasili,Peru,178385,Argentina,70415,Colombia,23471,Argentina,213119,United States of America,97901,Spain,54640
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
