"countryName_Destination";"Notes.x";"ISO3.x";"Type.of.data..a.";"Origin";"nbMigrants";"Notes.y";"ISO3.y"
"Burundi";"";"BDI";"B R";"Afghanistan";0;"";"AFG"
"Comoros";"";"COM";"B";"Afghanistan";0;"";"AFG"
"Djibouti";"";"DJI";"B R";"Afghanistan";0;"";"AFG"
"Eritrea";"";"ERI";"I";"Afghanistan";0;"";"AFG"
"Ethiopia";"";"ETH";"B R";"Afghanistan";0;"";"AFG"
"Kenya";"";"KEN";"B R";"Afghanistan";0;"";"AFG"
"Madagascar";"";"MDG";"C";"Afghanistan";0;"";"AFG"
"Malawi";"";"MWI";"B R";"Afghanistan";0;"";"AFG"
"Mauritius";"-1";"MUS";"C";"Afghanistan";0;"";"AFG"
"Mayotte";"";"MYT";"B";"Afghanistan";0;"";"AFG"
"Mozambique";"";"MOZ";"B R";"Afghanistan";0;"";"AFG"
"Réunion";"";"REU";"B";"Afghanistan";0;"";"AFG"
"Rwanda";"";"RWA";"B R";"Afghanistan";0;"";"AFG"
"Seychelles";"";"SYC";"B";"Afghanistan";0;"";"AFG"
"Somalia";"";"SOM";"I R";"Afghanistan";0;"";"AFG"
"South Sudan";"";"SSD";"B R";"Afghanistan";0;"";"AFG"
"Uganda";"";"UGA";"B R";"Afghanistan";0;"";"AFG"
"United Republic of Tanzania";"-2";"TZA";"B R";"Afghanistan";0;"";"AFG"
"Zambia";"";"ZMB";"B R";"Afghanistan";0;"";"AFG"
"Zimbabwe";"";"ZWE";"B R";"Afghanistan";0;"";"AFG"
"Angola";"";"AGO";"B R";"Afghanistan";0;"";"AFG"
"Cameroon";"";"CMR";"B";"Afghanistan";0;"";"AFG"
"Central African Republic";"";"CAF";"C";"Afghanistan";0;"";"AFG"
"Chad";"";"TCD";"B R";"Afghanistan";0;"";"AFG"
"Congo";"";"COG";"B";"Afghanistan";0;"";"AFG"
"Democratic Republic of the Congo";"";"COD";"B R";"Afghanistan";0;"";"AFG"
"Equatorial Guinea";"";"GNQ";"C";"Afghanistan";0;"";"AFG"
"Gabon";"";"GAB";"C";"Afghanistan";0;"";"AFG"
"Sao Tome and Principe";"";"STP";"C";"Afghanistan";0;"";"AFG"
"Algeria";"";"DZA";"C R";"Afghanistan";0;"";"AFG"
"Egypt";"";"EGY";"B R";"Afghanistan";235;"";"AFG"
"Libya";"";"LBY";"C";"Afghanistan";320;"";"AFG"
"Morocco";"";"MAR";"C";"Afghanistan";0;"";"AFG"
"Sudan";"-3";"SDN";"B R";"Afghanistan";0;"";"AFG"
"Tunisia";"";"TUN";"C";"Afghanistan";0;"";"AFG"
"Western Sahara";"";"ESH";"I";"Afghanistan";0;"";"AFG"
"Botswana";"";"BWA";"C";"Afghanistan";0;"";"AFG"
"Lesotho";"";"LSO";"C R";"Afghanistan";0;"";"AFG"
"Namibia";"";"NAM";"B";"Afghanistan";39;"";"AFG"
"South Africa";"";"ZAF";"B R";"Afghanistan";83;"";"AFG"
"Swaziland";"";"SWZ";"B R";"Afghanistan";0;"";"AFG"
"Benin";"";"BEN";"C B R";"Afghanistan";0;"";"AFG"
"Burkina Faso";"";"BFA";"B R";"Afghanistan";0;"";"AFG"
"Cabo Verde";"";"CPV";"B";"Afghanistan";0;"";"AFG"
"Côte d'Ivoire";"";"CIV";"C B";"Afghanistan";0;"";"AFG"
"Gambia";"";"GMB";"B";"Afghanistan";0;"";"AFG"
"Ghana";"";"GHA";"B";"Afghanistan";0;"";"AFG"
"Guinea";"";"GIN";"C R";"Afghanistan";0;"";"AFG"
"Guinea-Bissau";"";"GNB";"B R";"Afghanistan";0;"";"AFG"
"Liberia";"";"LBR";"B";"Afghanistan";0;"";"AFG"
"Mali";"";"MLI";"B R";"Afghanistan";0;"";"AFG"
"Mauritania";"";"MRT";"C R";"Afghanistan";0;"";"AFG"
